source	destination	begins	kind	source_dataset	observed_flights	frequency	firstseen_utc	operator_icao	source_ident	destination_ident	openflights_airline	openflights_route_source_id	openflights_route_destination_id
DEN	PHX	0	domestic	OpenSky-2020-01	928	0.8130	2019-12-31 23:16:05+00:00	SWA	KDEN	KPHX			
EWR	ATL	0	domestic	OpenSky-2020-01	1096	0.8327	2019-12-31 22:35:11+00:00	DAL	KEWR	KATL			
IAH	DFW	0	domestic	OpenSky-2020-01	1007	0.8227	2019-12-31 23:50:35+00:00	AAL	KIAH	KDFW			
LAX	LAS	0	domestic	OpenSky-2020-01	2271	0.9193	2019-12-31 23:29:04+00:00	SWA	KLAX	KLAS	4B	3484	3877
PHL	ATL	0	domestic	OpenSky-2020-01	1003	0.8222	2019-12-31 23:28:05+00:00	DAL	KPHL	KATL	AA	3752	3682
TAS	DME	0	international	OpenSky-2020-01	7	0.2474	2020-01-05 05:35:00+00:00	SBI	UTTT	UUDD			
BOG	CCS	0	international	OpenFlights-2014	0	0.1500			SKBO	SVMI	AV	2709	2851
DXB	SAH	0	international	OpenFlights-2014	0	0.1500			OMDB	OYSN	EK	2188	3980
HRE	LUN	0	international	OpenFlights-2014	0	0.1500			FVHA	FLLS	AF	1005	907
MEL	BNE	0	domestic	OpenSky-2020-01	2091	0.9095	2019-12-31 22:02:34+00:00	QFA	YMML	YBBN			
BLR	BOM	0	domestic	OpenSky-2020-01	2086	0.9092	2019-12-31 23:34:51+00:00	IGO	VOBL	VABB			
PHX	LAS	0	domestic	OpenSky-2020-01	1462	0.8670	2019-12-31 23:18:24+00:00	SWA	KPHX	KLAS			
SFO	LAS	0	domestic	OpenSky-2020-01	1460	0.8668	2019-12-31 23:32:44+00:00	UAL	KSFO	KLAS			
HKG	BKK	7	international	OpenSky-2020-01	1326	0.8554	2019-12-31 22:35:27+00:00	CPA	VHHH	VTBS	CX	3077	3885
LAX	PHX	0	domestic	OpenSky-2020-01	1307	0.8537	2019-12-31 22:59:55+00:00	SWA	KLAX	KPHX			
BLR	CCU	0	domestic	OpenSky-2020-01	1148	0.8382	2019-12-31 23:19:17+00:00	IGO	VOBL	VECC			
MAA	BOM	9	domestic	OpenSky-2020-01	1148	0.8382	2019-12-31 23:40:24+00:00	IGO	VOMM	VABB	6E	3144	2997
JFK	SFO	0	domestic	OpenSky-2020-01	1126	0.8359	2019-12-31 19:58:40+00:00	DAL	KJFK	KSFO			
SIN	HKG	0	international	OpenSky-2020-01	1117	0.8350	2019-12-31 12:28:35+00:00	CPA	WSSS	VHHH			
ATL	DFW	0	domestic	OpenSky-2020-01	1081	0.8311	2019-12-31 23:15:23+00:00	DAL	KATL	KDFW			
LAX	ORD	0	domestic	OpenSky-2020-01	1034	0.8258	2019-12-31 20:21:04+00:00	AAL	KLAX	KORD			
DUB	LHR	0	international	OpenSky-2020-01	1032	0.8256	2020-01-01 06:50:38+00:00	EIN	EIDW	EGLL			
BOM	CCU	0	domestic	OpenSky-2020-01	1015	0.8236	2019-12-31 23:38:13+00:00	IGO	VABB	VECC			
LAX	DFW	0	domestic	OpenSky-2020-01	1011	0.8231	2019-12-31 21:34:59+00:00	AAL	KLAX	KDFW			
JFK	LHR	8	international	OpenSky-2020-01	1010	0.8230	2019-12-31 17:25:25+00:00	BAW	KJFK	EGLL	AA	3797	507
ORD	YYZ	0	international	OpenSky-2020-01	1001	0.8220	2019-12-31 23:44:48+00:00	SKV	KORD	CYYZ			
AKL	SYD	9	international	OpenSky-2020-01	998	0.8216	2019-12-31 18:04:40+00:00	QFA	NZAA	YSSY	AA	2006	3361
FUK	ICN	0	international	OpenSky-2020-01	979	0.8193	2019-12-31 23:22:51+00:00	KAL	RJFF	RKSI			
BLR	MAA	0	domestic	OpenSky-2020-01	959	0.8169	2020-01-01 00:50:33+00:00	IGO	VOBL	VOMM			
SYD	ADL	0	domestic	OpenSky-2020-01	947	0.8154	2019-12-31 22:33:41+00:00	QFA	YSSY	YPAD	AA	3361	3341
ARN	HEL	0	international	OpenSky-2020-01	920	0.8119	2020-01-01 11:20:41+00:00	FIN	ESSA	EFHK			
ICN	TPE	0	international	OpenSky-2020-01	917	0.8115	2019-12-31 22:13:44+00:00	CAL	RKSI	RCTP			
MNL	HKG	7	international	OpenSky-2020-01	907	0.8102	2019-12-31 23:08:36+00:00	CPA	RPLL	VHHH	5J	2397	3077
ICN	BKK	0	international	OpenSky-2020-01	904	0.8098	2019-12-31 19:17:47+00:00	KAL	RKSI	VTBS			
BOG	MIA	10	international	OpenSky-2020-01	903	0.8097	2019-12-31 20:49:53+00:00	AAL	SKBO	KMIA	AA	2709	3576
LAX	ATL	0	domestic	OpenSky-2020-01	881	0.8068	2019-12-31 20:14:05+00:00	DAL	KLAX	KATL			
EWR	ORD	0	domestic	OpenSky-2020-01	873	0.8057	2019-12-31 22:09:51+00:00	UAL	KEWR	KORD			
DEN	LAX	0	domestic	OpenSky-2020-01	871	0.8054	2019-12-31 22:45:09+00:00	SWA	KDEN	KLAX			
PHX	ORD	0	domestic	OpenSky-2020-01	871	0.8054	2019-12-31 21:34:16+00:00	AAL	KPHX	KORD			
DFW	PHX	0	domestic	OpenSky-2020-01	865	0.8046	2019-12-31 21:56:07+00:00	AAL	KDFW	KPHX			
IAH	ATL	0	domestic	OpenSky-2020-01	858	0.8036	2019-12-31 23:21:35+00:00	DAL	KIAH	KATL	AF	3550	3682
DEN	LAS	0	domestic	OpenSky-2020-01	823	0.7987	2019-12-31 23:14:20+00:00	SWA	KDEN	KLAS			
SFO	ORD	0	domestic	OpenSky-2020-01	818	0.7980	2019-12-31 20:11:37+00:00	UAL	KSFO	KORD			
DFW	LAS	0	domestic	OpenSky-2020-01	813	0.7972	2019-12-31 23:00:25+00:00	AAL	KDFW	KLAS			
SFO	EWR	0	domestic	OpenSky-2020-01	805	0.7961	2019-12-31 19:03:57+00:00	UAL	KSFO	KEWR			
MIA	ORD	0	domestic	OpenSky-2020-01	791	0.7940	2019-12-31 21:27:09+00:00	AAL	KMIA	KORD			
MAA	CCU	0	domestic	OpenSky-2020-01	789	0.7937	2020-01-01 00:22:47+00:00	IGO	VOMM	VECC			
CPH	OSL	0	international	OpenSky-2020-01	767	0.7903	2020-01-01 12:44:38+00:00	SAS	EKCH	ENGM	AC	609	644
ORD	PHL	0	domestic	OpenSky-2020-01	766	0.7902	2019-12-31 23:17:09+00:00	AAL	KORD	KPHL			
MNL	SIN	0	international	OpenSky-2020-01	764	0.7899	2019-12-31 21:30:19+00:00	PAL	RPLL	WSSS			
IAH	ORD	0	domestic	OpenSky-2020-01	762	0.7895	2019-12-31 20:42:15+00:00	UAL	KIAH	KORD			
ATL	LAS	0	domestic	OpenSky-2020-01	748	0.7873	2019-12-31 21:06:22+00:00	DAL	KATL	KLAS			
FRA	MUC	0	domestic	OpenSky-2020-01	744	0.7867	2020-01-01 06:12:15+00:00	DLH	EDDF	EDDM			
DEN	DFW	0	domestic	OpenSky-2020-01	739	0.7859	2019-12-31 23:01:45+00:00	AAL	KDEN	KDFW			
EWR	MIA	0	domestic	OpenSky-2020-01	739	0.7859	2019-12-31 22:19:37+00:00	UAL	KEWR	KMIA			
DEL	DXB	8	international	OpenSky-2020-01	735	0.7853	2019-12-31 19:37:49+00:00	UAE	VIDP	OMDB	6E	3093	2188
LAS	ORD	0	domestic	OpenSky-2020-01	730	0.7844	2019-12-31 22:52:46+00:00	UAL	KLAS	KORD			
TPE	SIN	0	international	OpenSky-2020-01	728	0.7841	2019-12-31 22:34:55+00:00	TGW	RCTP	WSSS			
MUC	CDG	0	international	OpenSky-2020-01	713	0.7816	2020-01-01 06:29:27+00:00	AFR	EDDM	LFPG			
PER	SYD	0	domestic	OpenSky-2020-01	708	0.7808	2019-12-31 19:32:47+00:00	QFA	YPPH	YSSY			
MIA	DFW	0	domestic	OpenSky-2020-01	706	0.7805	2019-12-31 23:31:11+00:00	AAL	KMIA	KDFW			
MAD	LHR	0	international	OpenSky-2020-01	704	0.7801	2020-01-01 07:49:22+00:00	IBE	LEMD	EGLL			
BKK	TPE	0	international	OpenSky-2020-01	700	0.7795	2019-12-31 23:37:11+00:00	CAL	VTBS	RCTP			
LAX	IAH	0	domestic	OpenSky-2020-01	694	0.7784	2019-12-31 20:57:17+00:00	UAL	KLAX	KIAH			
LHR	MUC	0	international	OpenSky-2020-01	693	0.7783	2020-01-01 06:44:56+00:00	BAW	EGLL	EDDM			
PHX	SFO	0	domestic	OpenSky-2020-01	687	0.7772	2019-12-31 22:46:58+00:00	UAL	KPHX	KSFO			
CBR	MEL	0	domestic	OpenSky-2020-01	682	0.7764	2019-12-31 23:30:18+00:00	QFA	YSCB	YMML	AA	3355	3339
OOL	MEL	0	domestic	OpenSky-2020-01	679	0.7758	2019-12-31 22:22:53+00:00	VOZ	YBCG	YMML			
AKL	MEL	0	international	OpenSky-2020-01	674	0.7750	2019-12-31 21:59:29+00:00	QFA	NZAA	YMML	EK	2006	3339
AMS	CDG	0	international	OpenSky-2020-01	660	0.7725	2020-01-01 06:27:36+00:00	AFR	EHAM	LFPG			
LAX	YVR	0	international	OpenSky-2020-01	652	0.7710	2019-12-31 21:20:23+00:00	ACA	KLAX	CYVR			
MIA	JFK	0	domestic	OpenSky-2020-01	651	0.7708	2019-12-31 23:24:19+00:00	AAL	KMIA	KJFK			
DEN	ATL	0	domestic	OpenSky-2020-01	643	0.7694	2019-12-31 22:37:54+00:00	DAL	KDEN	KATL	AC	3751	3682
HKG	KUL	0	international	OpenSky-2020-01	643	0.7694	2019-12-31 23:38:57+00:00	HDA	VHHH	WMKK			
DFW	SFO	0	domestic	OpenSky-2020-01	637	0.7683	2019-12-31 21:33:05+00:00	AAL	KDFW	KSFO			
CLT	EWR	0	domestic	OpenSky-2020-01	629	0.7668	2019-12-31 22:43:14+00:00	AAL	KCLT	KEWR			
ATL	PHX	0	domestic	OpenSky-2020-01	627	0.7664	2019-12-31 20:20:55+00:00	DAL	KATL	KPHX	AA	3682	3462
DEN	SFO	0	domestic	OpenSky-2020-01	625	0.7660	2019-12-31 23:36:08+00:00	UAL	KDEN	KSFO			
EWR	YYZ	0	international	OpenSky-2020-01	624	0.7658	2020-01-01 00:20:51+00:00	SKV	KEWR	CYYZ			
IAH	EWR	0	domestic	OpenSky-2020-01	622	0.7654	2019-12-31 21:23:07+00:00	UAL	KIAH	KEWR			
LAX	EWR	0	domestic	OpenSky-2020-01	606	0.7623	2019-12-31 19:34:18+00:00	UAL	KLAX	KEWR			
KUL	BKK	0	international	OpenSky-2020-01	605	0.7621	2019-12-31 23:12:04+00:00	MAS	WMKK	VTBS			
DEN	IAH	0	domestic	OpenSky-2020-01	601	0.7613	2019-12-31 22:44:44+00:00	UAL	KDEN	KIAH			
AMS	DUB	0	international	OpenSky-2020-01	597	0.7606	2020-01-01 06:18:16+00:00	RYR	EHAM	EIDW			
ATL	YYZ	0	international	OpenSky-2020-01	594	0.7600	2019-12-31 22:28:07+00:00	DAL	KATL	CYYZ			
MNL	TPE	0	international	OpenSky-2020-01	588	0.7588	2019-12-31 23:44:25+00:00	EVA	RPLL	RCTP			
DFW	EWR	0	domestic	OpenSky-2020-01	587	0.7585	2019-12-31 20:56:03+00:00	AAL	KDFW	KEWR			
VIE	FRA	0	international	OpenSky-2020-01	582	0.7575	2020-01-01 06:21:51+00:00	AUA	LOWW	EDDF			
ATL	JFK	0	domestic	OpenSky-2020-01	575	0.7561	2019-12-31 22:42:41+00:00	DAL	KATL	KJFK			
MEL	SIN	0	international	OpenSky-2020-01	575	0.7561	2019-12-31 16:58:55+00:00	SIA	YMML	WSSS			
DEN	ORD	0	domestic	OpenSky-2020-01	568	0.7546	2020-01-01 00:11:57+00:00	UAL	KDEN	KORD			
VIE	DUS	0	international	OpenSky-2020-01	568	0.7546	2020-01-01 11:53:18+00:00	AUA	LOWW	EDDL			
MIA	IAH	0	domestic	OpenSky-2020-01	568	0.7546	2019-12-31 23:29:52+00:00	UAL	KMIA	KIAH			
LGW	AMS	0	international	OpenSky-2020-01	567	0.7544	2020-01-01 06:06:23+00:00	EZY	EGKK	EHAM			
MAD	FCO	0	international	OpenSky-2020-01	564	0.7538	2020-01-01 06:20:45+00:00	IBE	LEMD	LIRF			
DUS	LHR	0	international	OpenSky-2020-01	559	0.7527	2020-01-01 10:13:30+00:00	BAW	EDDL	EGLL			
LHR	ARN	0	international	OpenSky-2020-01	558	0.7525	2020-01-01 06:31:13+00:00	SAS	EGLL	ESSA	AA	507	737
CPH	LHR	0	international	OpenSky-2020-01	558	0.7525	2020-01-01 06:08:53+00:00	BAW	EKCH	EGLL			
SIN	SYD	9	international	OpenSky-2020-01	553	0.7515	2019-12-31 17:17:19+00:00	SIA	WSSS	YSSY	BA	3316	3361
MAD	BCN	0	domestic	OpenSky-2020-01	546	0.7500	2020-01-01 06:52:09+00:00	VLG	LEMD	LEBL	IB	1229	1218
JFK	LAS	0	domestic	OpenSky-2020-01	544	0.7495	2019-12-31 20:21:26+00:00	DAL	KJFK	KLAS			
ZRH	VIE	0	international	OpenSky-2020-01	540	0.7486	2020-01-01 05:37:28+00:00	SWR	LSZH	LOWW	AB	1678	1613
IAH	LAS	0	domestic	OpenSky-2020-01	538	0.7482	2019-12-31 21:55:22+00:00	UAL	KIAH	KLAS			
DFW	PHL	0	domestic	OpenSky-2020-01	536	0.7478	2019-12-31 21:23:15+00:00	AAL	KDFW	KPHL			
DXB	LHR	0	international	OpenSky-2020-01	535	0.7475	2019-12-31 18:45:27+00:00	UAE	OMDB	EGLL			
MNL	ICN	0	international	OpenSky-2020-01	535	0.7475	2019-12-31 13:38:10+00:00	KAL	RPLL	RKSI			
CPH	HEL	0	international	OpenSky-2020-01	531	0.7466	2020-01-01 01:52:50+00:00	FIN	EKCH	EFHK			
AMS	CPH	0	international	OpenSky-2020-01	524	0.7451	2020-01-01 06:02:12+00:00	KLM	EHAM	EKCH	AC	580	609
CLT	PHL	0	domestic	OpenSky-2020-01	523	0.7448	2019-12-31 22:56:42+00:00	AAL	KCLT	KPHL			
ZRH	DUS	0	international	OpenSky-2020-01	522	0.7446	2020-01-01 06:32:52+00:00	SWR	LSZH	EDDL			
MAD	CDG	0	international	OpenSky-2020-01	520	0.7442	2020-01-01 06:03:47+00:00	AFR	LEMD	LFPG			
IAH	SFO	0	domestic	OpenSky-2020-01	520	0.7442	2019-12-31 16:21:53+00:00	UAL	KIAH	KSFO			
SIN	ICN	7	international	OpenSky-2020-01	518	0.7437	2019-12-31 18:40:25+00:00	SIA	WSSS	RKSI	AI	3316	3930
CBR	BNE	0	domestic	OpenSky-2020-01	515	0.7430	2019-12-31 22:43:12+00:00	QJE	YSCB	YBBN	AA	3355	3320
ZRH	CDG	0	international	OpenSky-2020-01	509	0.7416	2020-01-01 06:47:57+00:00	SWR	LSZH	LFPG			
SIN	PER	0	international	OpenSky-2020-01	504	0.7404	2019-12-31 09:41:35+00:00	SIA	WSSS	YPPH			
ATL	SFO	0	domestic	OpenSky-2020-01	500	0.7395	2019-12-31 21:45:49+00:00	DAL	KATL	KSFO			
SFO	YVR	0	international	OpenSky-2020-01	499	0.7393	2019-12-31 22:17:24+00:00	UAL	KSFO	CYVR			
AMS	MUC	0	international	OpenSky-2020-01	495	0.7383	2020-01-01 06:59:56+00:00	DLH	EHAM	EDDM			
VIE	LHR	0	international	OpenSky-2020-01	494	0.7381	2020-01-01 05:52:51+00:00	BAW	LOWW	EGLL			
AKL	BNE	0	international	OpenSky-2020-01	493	0.7378	2019-12-31 22:34:34+00:00	ANZ	NZAA	YBBN	AA	2006	3320
BKK	DEL	9	international	OpenSky-2020-01	493	0.7378	2019-12-31 20:47:13+00:00	THA	VTBS	VIDP	6E	3885	3093
MAD	FRA	0	international	OpenSky-2020-01	492	0.7376	2020-01-01 05:41:20+00:00	DLH	LEMD	EDDF			
PER	BNE	0	domestic	OpenSky-2020-01	490	0.7371	2019-12-31 22:41:58+00:00	QFA	YPPH	YBBN			
MIA	PHL	0	domestic	OpenSky-2020-01	483	0.7354	2019-12-31 23:05:55+00:00	AAL	KMIA	KPHL			
CLT	ORD	0	domestic	OpenSky-2020-01	482	0.7351	2019-12-31 23:45:18+00:00	AAL	KCLT	KORD			
SVO	CDG	0	international	OpenSky-2020-01	478	0.7342	2019-12-31 22:30:34+00:00	AFL	UUEE	LFPG			
WLG	CHC	0	domestic	OpenSky-2020-01	475	0.7334	2019-12-31 23:44:36+00:00	NZM	NZWN	NZCH			
ZRH	FRA	0	international	OpenSky-2020-01	474	0.7332	2020-01-01 06:06:54+00:00	DLH	LSZH	EDDF			
IAH	PHX	0	domestic	OpenSky-2020-01	473	0.7329	2019-12-31 22:22:08+00:00	UAL	KIAH	KPHX			
JFK	ORD	8	domestic	OpenSky-2020-01	464	0.7306	2019-12-31 23:57:42+00:00	EDV	KJFK	KORD	AA	3797	3830
EDI	DUB	0	international	OpenSky-2020-01	463	0.7304	2020-01-01 06:50:10+00:00	STK	EGPH	EIDW			
FRA	CDG	0	international	OpenSky-2020-01	462	0.7301	2020-01-01 06:16:19+00:00	DLH	EDDF	LFPG			
LHR	FCO	0	international	OpenSky-2020-01	461	0.7299	2020-01-01 07:14:10+00:00	BAW	EGLL	LIRF			
BNE	ADL	0	domestic	OpenSky-2020-01	458	0.7291	2019-12-31 22:23:49+00:00	VOZ	YBBN	YPAD			
LAS	EWR	0	domestic	OpenSky-2020-01	458	0.7291	2019-12-31 20:52:57+00:00	UAL	KLAS	KEWR			
JFK	PHX	0	domestic	OpenSky-2020-01	458	0.7291	2019-12-31 20:01:16+00:00	AAL	KJFK	KPHX			
RIX	HEL	0	international	OpenSky-2020-01	457	0.7288	2020-01-01 03:31:50+00:00	BTI	EVRA	EFHK			
LAX	MIA	0	domestic	OpenSky-2020-01	447	0.7262	2019-12-31 16:23:19+00:00	AAL	KLAX	KMIA			
MUC	VIE	0	international	OpenSky-2020-01	443	0.7251	2020-01-01 05:40:51+00:00	AUA	EDDM	LOWW			
MNL	KUL	0	international	OpenSky-2020-01	441	0.7246	2019-12-31 22:11:58+00:00	MAS	RPLL	WMKK			
MAD	ZRH	0	international	OpenSky-2020-01	441	0.7246	2020-01-01 06:17:20+00:00	IBE	LEMD	LSZH			
MAD	MUC	0	international	OpenSky-2020-01	438	0.7238	2020-01-01 06:35:52+00:00	IBE	LEMD	EDDM	AB	1229	346
MAD	LGW	0	international	OpenSky-2020-01	437	0.7235	2020-01-01 06:25:14+00:00	EZY	LEMD	EGKK			
HKG	SYD	0	international	OpenSky-2020-01	432	0.7221	2019-12-31 16:12:59+00:00	CPA	VHHH	YSSY			
PHL	YYZ	0	international	OpenSky-2020-01	431	0.7219	2019-12-31 23:13:18+00:00	PDT	KPHL	CYYZ			
CDG	CPH	0	international	OpenSky-2020-01	430	0.7216	2020-01-01 06:42:33+00:00	AFR	LFPG	EKCH			
AMS	VIE	0	international	OpenSky-2020-01	429	0.7213	2020-01-01 09:02:34+00:00	AUA	EHAM	LOWW			
PHX	PHL	0	domestic	OpenSky-2020-01	425	0.7202	2019-12-31 20:24:54+00:00	AAL	KPHX	KPHL			
AMS	MAD	0	international	OpenSky-2020-01	423	0.7197	2020-01-01 05:20:57+00:00	KLM	EHAM	LEMD			
FRA	ARN	0	international	OpenSky-2020-01	420	0.7188	2020-01-01 05:59:12+00:00	DLH	EDDF	ESSA			
VIE	CDG	0	international	OpenSky-2020-01	420	0.7188	2020-01-01 06:16:23+00:00	AUA	LOWW	LFPG			
CLT	JFK	0	domestic	OpenSky-2020-01	420	0.7188	2020-01-01 00:07:37+00:00	AAL	KCLT	KJFK			
LAX	LHR	0	international	OpenSky-2020-01	417	0.7180	2019-12-31 13:34:54+00:00	BAW	KLAX	EGLL			
LAX	PHL	0	domestic	OpenSky-2020-01	417	0.7180	2019-12-31 19:49:14+00:00	AAL	KLAX	KPHL			
AMS	MAN	0	international	OpenSky-2020-01	416	0.7177	2020-01-01 07:16:28+00:00	KLM	EHAM	EGCC			
LHR	HEL	0	international	OpenSky-2020-01	412	0.7165	2020-01-01 06:09:01+00:00	FIN	EGLL	EFHK			
AMS	ARN	0	international	OpenSky-2020-01	411	0.7162	2020-01-01 07:51:36+00:00	KLM	EHAM	ESSA			
CNS	SYD	0	domestic	OpenSky-2020-01	410	0.7159	2019-12-31 23:18:07+00:00	VOZ	YBCS	YSSY			
EWR	LHR	0	international	OpenSky-2020-01	410	0.7159	2019-12-31 16:56:38+00:00	UAL	KEWR	EGLL	AA	3494	507
ORD	YUL	0	international	OpenSky-2020-01	410	0.7159	2019-12-31 22:45:37+00:00	SKV	KORD	CYUL			
PHX	EWR	0	domestic	OpenSky-2020-01	402	0.7136	2019-12-31 20:08:54+00:00	UAL	KPHX	KEWR			
AMS	FCO	0	international	OpenSky-2020-01	398	0.7124	2020-01-01 06:08:06+00:00	KLM	EHAM	LIRF			
OSL	LHR	0	international	OpenSky-2020-01	397	0.7121	2020-01-01 06:59:07+00:00	SAS	ENGM	EGLL			
DXB	CMB	0	international	OpenSky-2020-01	396	0.7118	2019-12-31 20:18:18+00:00	UAE	OMDB	VCBI	EK	2188	3024
FRA	CPH	0	international	OpenSky-2020-01	395	0.7115	2020-01-01 07:03:14+00:00	DLH	EDDF	EKCH			
LGW	EDI	0	domestic	OpenSky-2020-01	395	0.7115	2020-01-01 06:20:12+00:00	EZY	EGKK	EGPH			
DOH	BKK	0	international	OpenSky-2020-01	394	0.7112	2019-12-31 18:34:45+00:00	QTR	OTHH	VTBS			
FRA	DUB	0	international	OpenSky-2020-01	393	0.7109	2020-01-01 09:27:50+00:00	DLH	EDDF	EIDW			
MUC	CPH	0	international	OpenSky-2020-01	392	0.7106	2020-01-01 10:29:52+00:00	DLH	EDDM	EKCH			
LGW	CPH	0	international	OpenSky-2020-01	389	0.7097	2020-01-01 07:15:03+00:00	IBK	EGKK	EKCH			
HKG	LHR	0	international	OpenSky-2020-01	387	0.7091	2019-12-31 09:02:07+00:00	CPA	VHHH	EGLL			
CLT	DFW	0	domestic	OpenSky-2020-01	383	0.7079	2019-12-31 21:41:24+00:00	AAL	KCLT	KDFW			
ORD	LHR	0	international	OpenSky-2020-01	377	0.7060	2019-12-31 16:13:38+00:00	UAL	KORD	EGLL			
DUB	CDG	0	international	OpenSky-2020-01	376	0.7057	2020-01-01 06:12:45+00:00	EIN	EIDW	LFPG			
KUL	TPE	0	international	OpenSky-2020-01	376	0.7057	2019-12-31 23:19:11+00:00	XAX	WMKK	RCTP			
PNQ	BLR	0	domestic	OpenSky-2020-01	373	0.7047	2019-12-31 23:42:47+00:00	IGO	VAPO	VOBL			
ZRH	MUC	0	international	OpenSky-2020-01	373	0.7047	2020-01-01 06:25:19+00:00	DLH	LSZH	EDDM			
CLT	MIA	0	domestic	OpenSky-2020-01	372	0.7044	2020-01-01 00:36:05+00:00	AAL	KCLT	KMIA			
MAA	SIN	0	international	OpenSky-2020-01	371	0.7041	2019-12-31 22:02:42+00:00	SIA	VOMM	WSSS			
PER	ADL	0	domestic	OpenSky-2020-01	370	0.7038	2019-12-31 22:03:38+00:00	QFA	YPPH	YPAD	JQ	3351	3341
SVO	HEL	0	international	OpenSky-2020-01	370	0.7038	2020-01-01 05:36:17+00:00	FIN	UUEE	EFHK			
BRU	MAD	0	international	OpenSky-2020-01	367	0.7028	2020-01-01 07:03:56+00:00	IBE	EBBR	LEMD			
CDG	MAN	0	international	OpenSky-2020-01	367	0.7028	2020-01-01 07:08:51+00:00	AFR	LFPG	EGCC			
SVO	FCO	0	international	OpenSky-2020-01	366	0.7025	2019-12-31 22:36:50+00:00	AFL	UUEE	LIRF			
YYZ	MIA	0	international	OpenSky-2020-01	365	0.7022	2019-12-31 22:19:28+00:00	ROU	CYYZ	KMIA			
HBA	SYD	0	domestic	OpenSky-2020-01	364	0.7018	2019-12-31 22:35:25+00:00	JST	YMHB	YSSY	JQ	3336	3361
SZX	ICN	0	international	OpenSky-2020-01	364	0.7018	2019-12-31 13:59:50+00:00	CSZ	ZGSZ	RKSI			
YUL	EWR	0	international	OpenSky-2020-01	361	0.7008	2020-01-01 00:01:19+00:00	SKV	CYUL	KEWR			
FUK	TPE	0	international	OpenSky-2020-01	361	0.7008	2019-12-31 23:03:58+00:00	CAL	RJFF	RCTP			
ARN	CDG	0	international	OpenSky-2020-01	358	0.6999	2020-01-01 05:24:33+00:00	AFR	ESSA	LFPG			
MAA	KUL	0	international	OpenSky-2020-01	356	0.6992	2019-12-31 22:42:41+00:00	MAS	VOMM	WMKK	9W	3144	3304
SIN	LHR	0	international	OpenSky-2020-01	353	0.6982	2019-12-31 15:22:45+00:00	SIA	WSSS	EGLL			
DEL	SIN	0	international	OpenSky-2020-01	348	0.6965	2019-12-31 20:11:28+00:00	AIC	VIDP	WSSS			
ZRH	AMS	0	international	OpenSky-2020-01	347	0.6962	2020-01-01 06:02:33+00:00	SWR	LSZH	EHAM			
CDG	JFK	0	international	OpenSky-2020-01	346	0.6958	2019-12-31 17:11:50+00:00	DAL	LFPG	KJFK			
WAW	MUC	0	international	OpenSky-2020-01	345	0.6955	2020-01-01 06:02:40+00:00	LOT	EPWA	EDDM			
FRA	WAW	0	international	OpenSky-2020-01	343	0.6948	2020-01-01 06:17:14+00:00	DLH	EDDF	EPWA	ET	340	679
BKK	BOM	0	international	OpenSky-2020-01	342	0.6944	2020-01-01 07:18:10+00:00	IGO	VTBS	VABB	9W	3885	2997
IAH	YYZ	0	international	OpenSky-2020-01	342	0.6944	2019-12-31 20:38:17+00:00	ASH	KIAH	CYYZ			
DOH	CMB	0	international	OpenSky-2020-01	341	0.6941	2019-12-31 21:38:33+00:00	QTR	OTHH	VCBI	QR	11051	3024
AMS	FRA	0	international	OpenSky-2020-01	340	0.6937	2020-01-01 07:45:47+00:00	DLH	EHAM	EDDF			
DXB	BKK	0	international	OpenSky-2020-01	340	0.6937	2019-12-31 18:24:36+00:00	UAE	OMDB	VTBS			
LHR	MAN	0	domestic	OpenSky-2020-01	339	0.6934	2020-01-01 06:30:44+00:00	SHT	EGLL	EGCC			
PER	KUL	0	international	OpenSky-2020-01	338	0.6930	2019-12-31 19:09:17+00:00	MXD	YPPH	WMKK	D7	3351	3304
MUC	FCO	0	international	OpenSky-2020-01	337	0.6927	2020-01-01 08:37:08+00:00	DLH	EDDM	LIRF			
MUC	ARN	0	international	OpenSky-2020-01	333	0.6913	2020-01-01 07:02:41+00:00	DLH	EDDM	ESSA			
SIN	BNE	0	international	OpenSky-2020-01	333	0.6913	2019-12-31 16:56:52+00:00	SIA	WSSS	YBBN			
HKG	DEL	0	international	OpenSky-2020-01	332	0.6909	2019-12-31 20:33:26+00:00	CPA	VHHH	VIDP			
DXB	MAA	0	international	OpenSky-2020-01	331	0.6906	2019-12-31 22:38:24+00:00	UAE	OMDB	VOMM	6E	2188	3144
HKG	DXB	8	cargo	OpenSky-2020-01	330	0.6902	2019-12-31 16:48:22+00:00	UAE	VHHH	OMDB	CX	3077	2188
VIE	WAW	0	international	OpenSky-2020-01	329	0.6898	2020-01-01 06:22:12+00:00	LOT	LOWW	EPWA			
MNL	BKK	0	international	OpenSky-2020-01	328	0.6895	2019-12-31 23:54:05+00:00	PAL	RPLL	VTBS			
AMS	OSL	0	international	OpenSky-2020-01	327	0.6891	2020-01-01 07:36:54+00:00	KLM	EHAM	ENGM			
LGW	CDG	0	international	OpenSky-2020-01	327	0.6891	2020-01-01 06:34:56+00:00	VLG	EGKK	LFPG			
ICN	KUL	0	international	OpenSky-2020-01	326	0.6887	2019-12-31 23:43:44+00:00	XAX	RKSI	WMKK			
LAX	SYD	9	international	OpenSky-2020-01	324	0.6880	2019-12-31 05:59:47+00:00	QFA	KLAX	YSSY	AA	3484	3361
